Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
124,BUF,"Keon Coleman",WR,17,11.12,7,1.1%,55%,145.2,168,179,258.2,14.8
125,CLE,"Joe Flacco",QB,9,16.02,9,-5.1%,18%,66.5,129,133,188.9,14.7
126,NO,"Rashid Shaheed",WR,17,12.06,11,-1%,49%,160,165,180,242.7,14.5
127,ATL,"Darnell Mooney",WR,17,12.07,5,1.4%,84%,159.9,171,182,232.6,14.4
128,IND,"Nick Cross",DB,17,,11,9.6%,0%,99,67,118,153.2,14.3
129,NYG,"Jaxson Dart",QB,4,14.12,14,-5.4%,33%,33.3,67,67,109.3,14.1
130,BUF,"Dalton Kincaid",TE,17,10.12,7,4.6%,85%,134.1,143,170,219,14
131,LAC,"Derwin James",DB,17,,12,11.4%,32%,88.2,131,116,162.6,14
132,NO,"Spencer Rattler",QB,9,18.07,11,3.3%,29%,51.9,167,130,175.3,14
133,PIT,"Kaleb Johnson",RB,17,7.09,5,-1.3%,30%,119.4,168,164,240.5,13.9
134,GB,"Jayden Reed",WR,17,11.05,5,-0.7%,33%,129.5,153,185,251.7,13.8
135,GB,"Edgerrin Cooper",LB,17,,5,-4.4%,0%,107.2,70,134,174.1,13.7
136,DET,"Aidan Hutchinson",DL,17,,8,-5.4%,20%,83.3,95,99,124,13.3
137,GB,"Tucker Kraft",TE,17,10.07,5,-4.1%,38%,137.5,153,166,208.7,13.1
138,SEA,"Cooper Kupp",WR,17,10.03,8,1.5%,63%,149.3,175,168,246.6,13.1
139,TB,"Chris Godwin",WR,12,10.05,9,0.7%,58%,123.5,199,176,229.3,12.9
140,DEN,"Evan Engram",TE,17,8.09,12,1.9%,71%,129.3,156,166,208.9,12.8
141,HOU,"Will Anderson Jr.",DL,17,,6,-3.4%,24%,78.1,88,98,123,12.6
142,HOU,"Christian Kirk",WR,17,13.07,6,0.3%,88%,151.6,150,181,223.8,12.4
143,JAC,"Travis Etienne",RB,17,9.03,8,0.6%,71%,120.2,142,167,223.7,12.2
144,MIN,"Jordan Mason",RB,17,11.01,6,-3.5%,43%,134.6,134,158,235.9,12.1
145,DAL,"Jake Ferguson",TE,17,11.09,10,-6.4%,70%,134.4,153,172,187.8,11.9
146,KC,"Marquise Brown",WR,17,16.01,10,0.6%,69%,143.2,148,175,234,11.8
147,DEN,"J.K. Dobbins",RB,17,11.06,12,-3%,57%,120.5,150,161,220.2,11.6
148,CHI,"Jaquan Brisker",DB,17,,5,-1.5%,0%,79.5,115,114,153.4,11.6
149,WAS,"Austin Ekeler",RB,17,12.05,12,-3.9%,73%,113.9,158,168,201.1,11.4
150,NE,"Robert Spillane",LB,17,,14,6.7%,0%,100.9,132,134,161.4,11
151,PHI,"Dallas Goedert",TE,17,12.03,9,-4.5%,85%,139,149,162,195.6,10.8
152,SF,"Brandon Aiyuk",WR,11,12.02,14,1.1%,44%,116.2,162,173,230.7,10.7
153,MIN,"Andrew Van Ginkel",DL,17,,6,-3.3%,0%,73.1,74,97,113,10.6
154,GB,"Micah Parsons",DL,16,,5,-4.4%,27%,81.5,112,96,119.9,10.6
155,NO,"Tyler Shough",QB,8,17.05,11,3.3%,24%,42.4,53,121,157.4,10.4
156,DEN,"Brandon Jones",DB,17,,12,7.7%,19%,82.9,118,109,152.8,10.3
157,LAR,"Kamren Kinchens",DB,17,,8,-0.6%,0%,79.1,50,113,147,10.3
158,ATL,"Kaden Elliss",LB,17,,5,-2.4%,0%,107,107,129,159.8,10
159,CIN,"Logan Wilson",LB,17,,10,-11.8%,25%,105.7,129,129,161.1,10
160,CLE,"Carson Schwesinger",LB,17,,9,-7.3%,38%,104,,127,164.9,9.8
161,LAC,"Keenan Allen",WR,17,13.12,12,-0.8%,62%,123.2,153,160,243.1,9.7
162,MIA,"Jordyn Brooks",LB,17,,12,-7.1%,28%,111.2,137,131,150.4,9.6
163,CLE,"Myles Garrett",DL,17,,9,-7.3%,18%,73.8,103,90,117.1,9.5
164,NYG,"Tyler Nubin",DB,17,,14,-8.3%,0%,83.7,81,112,139.5,9.4
165,LVR,"Maxx Crosby",DL,17,,8,10.4%,0%,69.7,118,89,120.7,9.3
