"Note","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"Value","64","Isiah Pacheco","6.0","5.0","RB","KC","10","6.07","139.2","166.0","196.0","243.0","193.5","29.5","$16","$20"
"","65","Calvin Ridley","6.0","6.0","WR","TEN","10","8.08","147.2","168.0","184.0","207.9","181.4","29.0","$21","$19"
"Breakout","66","Ricky Pearsall","6.0","6.0","WR","SF","14","8.07","140.2","160.0","171.0","242.8","181.1","28.9","$14","$19"
"","67","Travis Kelce","6.0","4.0","TE","KC","10","8.06","119.4","141.0","155.0","181.4","153.5","28.9","$14","$19"
"Value","68","Deebo Samuel","6.0","6.0","WR","WAS","12","9.01","148.2","159.0","183.0","210.5","180.3","28.5","$15","$19"
"","69","Mark Andrews","6.0","4.0","TE","BAL","7","8.09","128.5","134.0","146.0","191.3","151.9","28.3","$19","$19"
"","70","RJ Harvey","6.0","6.0","RB","DEN","12","5.08","139.8","172.0","184.0","242.9","188.9","28.0","$15","$19"
"","71","T.J. Hockenson","6.0","4.0","TE","MIN","6","7.03","130.5","137.0","145.0","185.6","150.9","27.9","$15","$19"
"Value","72","Chris Olave","6.0","6.0","WR","NO","11","7.08","135.5","157.0","176.0","225.3","178.2","27.5","$14","$18"
"","73","D'Andre Swift","6.0","6.0","RB","CHI","5","6.11","131.4","174.0","185.0","236.8","187.0","27.3","$16","$18"
"","74","Rome Odunze","6.0","6.0","WR","CHI","5","6.08","150.0","154.0","163.0","239.6","177.3","27.1","$15","$18"
"","75","Aaron Jones","6.0","6.0","RB","MIN","6","8.05","143.8","166.0","182.0","233.0","185.4","26.8","$14","$18"
"Value","76","David Njoku","6.0","4.0","TE","CLE","9","9.07","121.2","139.0","146.0","176.7","148.2","26.7","$13","$18"
"Sleeper","77","Emeka Egbuka","6.0","6.0","WR","TB","9","7.04","144.9","148.0","161.0","236.7","174.0","25.5","$11","$17"
"","78","Jerry Jeudy","6.0","6.0","WR","CLE","9","7.05","146.9","172.0","165.0","209.6","173.6","25.3","$20","$17"
"Suspended","79","Jordan Addison","6.0","6.0","WR","MIN","6","8.04","142.0","152.0","169.0","214.6","172.8","24.9","$11","$17"
"","80","Jakobi Meyers","6.0","6.0","WR","LVR","8","9.09","145.1","156.0","177.0","189.4","171.7","24.4","$12","$16"
"","81","Matthew Golden","7.0","7.0","WR","GB","5","8.03","134.9","152.0","155.0","238.7","170.8","24.0","$17","$16"
"","82","Tucker Kraft","7.0","5.0","TE","GB","5","9.10","112.9","125.0","136.0","171.4","138.9","22.8","$12","$15"
"Injured","83","Jauan Jennings","7.0","7.0","WR","SF","14","11.04","133.5","150.0","157.0","219.8","166.8","22.1","$10","$15"
"","84","Tyler Warren","7.0","5.0","TE","IND","11","7.06","102.7","122.0","130.0","178.1","135.7","21.5","$12","$14"
"Value","85","Dalton Kincaid","7.0","5.0","TE","BUF","7","10.10","105.9","113.0","134.0","172.9","135.4","21.4","$9","$14"
"","86","Khalil Shakir","7.0","7.0","WR","BUF","7","9.08","142.0","145.0","167.0","188.7","164.8","21.2","$7","$14"
"","87","Tyrone Tracy Jr.","7.0","7.0","RB","NYG","14","7.09","113.2","162.0","169.0","202.8","167.1","20.8","$12","$14"
"","88","Stefon Diggs","7.0","7.0","WR","NE","14","10.01","129.6","146.0","158.0","208.6","163.5","20.5","$11","$14"
"","89","Patrick Mahomes","7.0","2.0","QB","KC","10","5.07","332.3","371.0","382.0","420.2","381.5","20.4","$15","$14"
"","90","Kaleb Johnson","7.0","7.0","RB","PIT","5","6.12","113.2","158.0","155.0","227.9","165.8","20.3","$16","$14"
"","91","Evan Engram","7.0","5.0","TE","DEN","12","10.05","101.4","120.0","130.0","163.8","131.9","19.9","$10","$13"
"Value","92","Dallas Goedert","7.0","5.0","TE","PHI","9","14.12","111.8","118.0","130.0","157.3","131.7","19.8","$10","$13"
"Value","93","Jake Ferguson","7.0","5.0","TE","DAL","10","13.04","105.3","119.0","135.0","147.2","130.8","19.4","$8","$13"
"Sleeper","94","Keon Coleman","7.0","7.0","WR","BUF","7","11.03","122.3","143.0","151.0","217.4","160.7","19.2","$11","$13"
"Sleeper","95","Josh Downs","7.0","7.0","WR","IND","11","11.02","132.2","140.0","152.0","205.2","159.4","18.6","$8","$12"
"","96","Jordan Mason","7.0","7.0","RB","MIN","6","10.12","127.5","126.0","150.0","223.5","159.8","18.3","$9","$12"
"Injured","97","Jayden Reed","8.0","8.0","WR","GB","5","10.04","109.9","128.0","157.0","213.5","158.3","18.1","$12","$12"
"","98","Jaylen Warren","8.0","7.0","RB","PIT","5","9.02","121.6","148.0","160.0","187.2","158.5","17.9","$8","$12"
"Sleeper","99","Rashid Shaheed","8.0","8.0","WR","NO","11","14.02","131.7","138.0","148.0","199.8","155.9","17.0","$11","$11"
"","100","Michael Pittman Jr.","8.0","8.0","WR","IND","11","11.09","132.0","148.0","145.0","197.2","155.5","16.8","$10","$11"
