NAME,POS,RTG,TEAM,DEP,BYE,GP,FPPG,SNAP,TOUCH,#,%
"Charlie Kolar","TE","67","BAL","3",14,15,1.4,10.6,0.3,15.3,23.3
"Xavier Hutchinson","WR","68","HOU","2",14,16,1.4,12.8,0.6,17.6,26.4
"Simi Fehoko","WR","67","LAC","2",5,6,1.3,3,0.1,4,6.1
"Alec Ingold","FB","76","MIA","1",6,17,1.3,18.9,0.7,24.3,37.6
"Robert Tonyan","TE","69","CHI","2",6,17,1.3,14.5,0.5,19,28.4
"Tank Bigsby","RB","73","JAX","3",12,17,1.3,6.2,2.2,8.3,12.1
"Chris Conley","WR","69","SF","2",9,8,1.2,11.1,0.3,13.8,21.7
"Lawrence Cager","TE","68","NYG","3",11,10,1.2,8.4,0.3,9.8,15.6
"Erik Ezukanma","WR","67","MIA","2",6,2,1.1,13.2,2.3,14.5,22.3
"Malik Taylor","WR","67","NYJ","",12,3,1.1,15.5,0.6,17,24.2
"Ke'Shawn Vaughn","RB","71","TB","3",9,6,1.1,9.4,4.1,10,15.7
"Justyn Ross","WR","71","KC","3",6,10,1.1,12,0.5,13.6,20.2
"Keith Kirkwood","WR","68","NO","2",14,13,1.1,16.1,0.3,18.2,26.4
"Boston Scott","RB","74","PHI","1",9,15,1.1,4.3,1.5,4.5,6.8
"Tim Jones","WR","67","JAX","2",12,17,1.1,17.6,0.6,19.9,29.1
"Dorian Thompson-Robinson","QB","67","CLE","",10,2,1,5.2,0.5,5,6.6
"Malik Willis","QB","67","TEN","3",10,3,1,7.2,1.6,7.3,12.9
"Kenny Yeboah","TE","67","NYJ","2",12,5,1,25.6,0.4,24.6,34.7
"Jalen Nailor","WR","70","MIN","3",6,6,1,15.9,0.5,15.7,23.7
"Peyton Hendershot","TE","68","DAL","3",6,8,1,20.4,0.6,19.9,28
"Rakim Jarrett","WR","67","TB","2",11,10,1,11.5,0.5,11.5,17.5
"Eric Gray","RB","67","NYG","4",11,13,1,5,1.8,5,7.6
"Brenton Strange","TE","67","JAX","3",12,14,1,21.3,0.3,22.1,32.2
"Josiah Deguara","TE","67","GB","3",12,15,1,13.5,0.6,13.1,20.1
"Clayton Tune","QB","67","ARI","2",11,8,0.9,8,1.1,7.5,11.2
"Dare Ogunbowale","RB","67","HOU","3",14,12,0.9,10.5,1,9,13.3
"Ian Thomas","TE","71","CAR","3",11,12,0.9,20.4,0.5,18,26.5
"Mitchell Wilcox","TE","67","CIN","3",14,17,0.9,15.8,0.6,13.5,21.1
"Trayveon Williams","RB","67","CIN","1",12,17,0.9,10.5,1.5,9.2,14.3
"Patrick Ricard","FB","82","BAL","1",14,17,0.9,29.2,0.3,26.1,39.4
"Cole Fotheringham","TE","67","LV","4",14,2,0.8,13.1,0.6,10.5,16.2
"Kayshon Boutte","WR","67","NE","2",14,5,0.8,29.7,0.5,23.2,34.9
"Elijah Cooks","WR","67","JAX","2",12,9,0.8,15.9,0.4,12,18.4
"Payne Durham","TE","67","TB","3",11,13,0.8,11.9,0.5,9.8,15.1
"Velus Jones Jr.","WR","70","CHI","1",7,14,0.8,9,1.1,7.1,10.9
"Marcedes Lewis","TE","75","CHI","3",7,17,0.8,25.7,0.3,19.5,29.2
"Darnell Washington","TE","70","PIT","2",9,17,0.8,39,0.5,30.1,47.7
"Collin Johnson","WR","68","CHI","3",7,3,0.7,19,0.5,13.3,20.8
"Trishton Jackson","WR","67","MIN","3",6,7,0.7,16.3,0.4,11.4,16.1
"Quintin Morris","TE","67","BUF","3",12,15,0.7,17.5,0.2,12.3,18.1
"Ben Sims","TE","67","GB","4",10,17,0.7,15.6,0.3,11.1,17.2
"Hunter Luepke","RB","67","DAL","1",7,17,0.7,12,0.7,9,12.9
"Sean Clifford","QB","67","GB","2",10,2,0.6,10.2,2.3,6.5,9.7
"Nate Adkins","TE","67","DEN","4",14,10,0.6,9.7,0.6,6,9.7
"Devin Duvernay","WR","76","BAL","2",12,13,0.6,18.6,1.1,10.5,15.6
"Julian Hill","TE","67","MIA","2",6,15,0.6,39,0.7,22.9,35.4
"DeAndre Carter","WR","74","LV","1",7,17,0.6,10.5,0.7,6,9.8
"DeeJay Dallas","RB","69","SEA","1",11,17,0.6,9.4,1.6,5.6,9.1
"Laquon Treadwell","WR","69","BAL","3",14,5,0.5,25,0.4,13,21
"Sean Tucker","RB","67","TB","3",11,11,0.5,6.2,3.3,2.9,4.5
"Ko Kieft","TE","67","TB","2",11,16,0.5,28.8,0.1,12.9,19.8
"Grant Calcaterra","TE","67","PHI","3",5,15,0.5,14.9,0.5,7.9,11.6
"Britain Covey","WR","67","PHI","1",5,16,0.5,7.1,0.5,3.6,5.3
"Jack Stoll","TE","67","PHI","2",5,17,0.5,49.8,0.6,25.8,38.2
"Cooper Rush","QB","67","DAL","2",7,8,0.4,21.2,3.7,8.6,12.5
"Eric Saubert","TE","68","HOU","3",9,10,0.4,27.9,0.7,11.7,17.6
"Khari Blasingame","FB","73","CHI","1",7,16,0.4,32.1,1.9,11.6,17.4
"Zach Pascal","WR","71","ARI","1",11,14,0.4,34.2,0.7,14.4,21.5
"Charlie Woerner","TE","67","SF","2",12,17,0.4,50.3,0.5,18.4,29.3
"C.J. Ham","FB","76","MIN","1",6,17,0.4,30,1.1,12.7,19.3
"Mason Kinsey","WR","67","TEN","2",5,6,0.3,15.6,0.6,4.2,7.1
"Tucker Fisk","TE","67","ATL","4",5,6,0.3,37.9,0.5,12,19.5
"Cody Thompson","WR","67","SEA","3",11,7,0.3,11.5,0.5,3.3,5
"Mike White","QB","67","MIA","2",12,6,0.3,25.5,3.8,8.8,13.2
"Chris Evans","RB","67","CIN","2",12,8,0.3,11.4,1.4,3,4.8
"Miles Boykin","WR","70","PIT","2",11,17,0.3,25.7,0.6,7.1,11.3
"James Mitchell","TE","67","DET","3",5,15,0.3,32.7,0.4,10.5,15
"Austin Trammell","WR","67","LAR","1",12,16,0.3,14.9,0.8,4.6,6.8
"Michael Burton","FB","70","DEN","1",14,17,0.3,33.2,1.8,11.1,17.6
"Samori Toure","WR","68","GB","",7,2,0.2,40,2.5,8,11.4
"Nick Vannett","TE","67","LAC","4",5,8,0.2,96.2,0.8,15.6,22.9
