Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
393,TB,"Zyon McCollum",DB,17,,9,-2.2%,0%,68.4,86,83,121,-6.4
394,LAR,"Braden Fiske",DL,17,,8,-0.6%,0%,55.6,57,63,82.1,-6.5
395,LAR,"Blake Corum",RB,17,18.05,8,2.6%,32%,61.6,61,77,195.5,-6.6
396,WAS,"Jartavius Martin",DB,17,,12,5.7%,0%,65.1,45,81,126.2,-6.6
397,DEN,"Talanoa Hufanga",DB,17,,12,7.7%,39%,65.6,62,82,122.9,-6.6
398,WAS,"Chris Rodriguez",RB,17,114.01,12,-3.9%,28%,68.7,61,73,197.4,-6.7
399,NYJ,"Mason Taylor",TE,17,15.07,9,5.1%,39%,107.7,139,130,206.3,-6.7
400,KC,"Brashard Smith",RB,17,21.06,10,-1%,17%,55.9,32,80,211.6,-6.7
401,CAR,"A'Shawn Robinson",DL,17,,14,0.7%,0%,53.2,61,66,76.4,-6.7
402,BUF,"Matt Milano",LB,16,,7,9%,23%,71.5,10,107,145.1,-6.7
403,MIA,"Jaylen Wright",RB,14,16.10,12,2.8%,32%,49.4,85,77,185.3,-6.8
404,TEN,"Elic Ayomanor",WR,17,19.04,10,1.2%,8%,71,88,89,226.2,-6.8
405,ATL,"Leonard Floyd",DL,17,,5,-2.4%,17%,51.7,65,65,77.5,-6.8
406,IND,"Kwity Paye",DL,17,,11,9.6%,61%,49.5,66,58,92.2,-6.9
407,KC,"Chris Jones",DL,17,,10,-9.1%,7%,44.2,67,53,105.2,-7
408,TB,"Jalen McMillan",WR,9,18.06,9,0.7%,49%,44,53,52,89.5,-7.1
409,BAL,"DeAndre Hopkins",WR,17,19.07,7,1.2%,33%,96.7,102,107,161.1,-7.1
410,MIN,"Ivan Pace Jr.",LB,17,,6,-3.3%,0%,79.6,114,105,141.4,-7.2
411,NE,"Milton Williams",DL,17,,14,6.7%,0%,42.4,,53,106.1,-7.2
412,HOU,"Jo'Quavious Marks",RB,17,18.04,6,2.3%,0%,62.8,57,79,180.6,-7.3
413,CHI,"Kyler Gordon",DB,17,,5,-1.5%,0%,64.3,4,86,111.4,-7.3
414,DAL,"Jack Sanborn",LB,17,,10,-11%,0%,61.1,,91,182.4,-7.3
415,ARI,"Zaven Collins",DL,17,,8,8.2%,0%,53.9,45,64,74.5,-7.6
416,IND,"Laiatu Latu",DL,17,,11,9.6%,12%,46.9,69,55,96.6,-7.7
417,NO,"Chase Young",DL,17,,11,7.4%,8%,46.7,47,55,96.2,-7.7
418,TEN,"Tennessee Titans",DEF,17,27.02,10,10%,0%,82.5,80,91,109.7,-7.7
419,DET,"Isaac TeSlaa",WR,17,17.12,8,1%,0%,65.3,82,87,224.7,-7.8
420,MIA,"Miami Dolphins",DEF,17,27.03,12,-7.1%,0%,83.9,92,92,112.5,-7.9
421,NYG,"Micah McFadden",LB,16,,14,-8.3%,0%,79.4,94,104,141,-8
422,JAC,"Tyson Campbell",DB,17,,8,4.6%,0%,63.4,93,79,122.8,-8
423,LAR,"Kamren Curl",DB,17,,8,-0.6%,0%,64,125,85,110.9,-8
424,MIA,"Malik Washington",WR,17,26.02,12,2.9%,0%,72.4,77,99,194.3,-8.1
425,PHI,"Jalen Carter",DL,17,,9,-6.1%,11%,53.3,47,59,81.1,-8.2
426,KC,"Charles Omenihu",DL,17,,10,-9.1%,0%,53.7,,63,72.6,-8.2
427,LAR,"Tutu Atwell",WR,17,24.11,8,0.4%,23%,84.5,98,96,173.8,-8.4
428,CHI,"Kyle Monangai",RB,17,20.08,5,-3.4%,0%,60.9,52,66,195.3,-8.4
429,PIT,"Darius Slay",DB,17,,5,3.5%,62%,60.9,81,87,106.2,-8.4
430,GB,"MarShawn Lloyd",RB,13,23.03,5,-0.4%,91%,49,70,78,164.1,-8.5
431,SF,"Isaac Guerendo",RB,17,15.05,14,4.4%,58%,49.6,54,56,219.6,-8.5
432,PIT,"Kenneth Gainwell",RB,17,33.08,5,-1.3%,17%,58.1,56,78,166.7,-8.5
433,CLE,"Denzel Ward",DB,17,,9,-7.3%,78%,59.5,63,85,110.5,-8.5
434,CIN,"Andrei Iosivas",WR,17,23.06,10,0.4%,6%,82.1,93,98,171,-8.6
435,IND,"Adonai Mitchell",WR,17,22.10,11,-0.9%,9%,70.1,71,78,233.7,-8.6
436,NE,"Kayshon Boutte",WR,17,24.10,14,1.1%,0%,70.9,84,109,163.5,-8.6
437,NYJ,"Josh Reynolds",WR,17,26.04,9,3%,29%,69.8,91,104,167.7,-8.7
438,HOU,"Jaylin Noel",WR,17,20.10,6,0.3%,8%,72.4,69,97,193,-8.7
439,CIN,"Jordan Battle",DB,17,,10,-11.8%,0%,50.6,102,84,118,-8.7
440,CAR,"Nick Scott",DB,17,,14,0.7%,0%,86.9,,87,86.9,-8.7
441,KC,"Trent McDuffie",DB,17,,10,-9.1%,0%,62.7,90,78,121.5,-8.8
442,HOU,"Kamari Lassiter",DB,17,,6,-3.4%,0%,62.7,27,78,121.5,-8.8
443,NO,"New Orleans Saints",DEF,17,27.08,11,7.4%,0%,84.8,80,93,112.8,-8.8
444,PHI,"Jalyx Hunt",DL,17,,9,-6.1%,0%,37.4,13,50,104.6,-8.9
445,PHI,"Will Shipley",RB,17,18.12,9,-2.8%,18%,56,56,66,184.4,-9
446,SEA,"Jason Myers",K,17,109.10,8,5.7%,0%,131.8,130,140,165.4,-9
447,NYJ,"Will McDonald",DL,17,,9,6.5%,6%,45,39,56,87.2,-9.1
448,LVR,"Dont'e Thornton Jr.",WR,17,17.09,8,-0.8%,0%,64.7,90,86,202.6,-9.1
449,HOU,"Dameon Pierce",RB,17,25.04,6,2.3%,36%,49.1,47,66,190,-9.2
450,SF,"Deommodore Lenoir",DB,17,,14,15.5%,0%,58.7,54,84,109,-9.2
451,GB,"Javon Bullard",DB,17,,5,-4.4%,0%,59,85,79,118.1,-9.2
452,NO,"Justin Reid",DB,17,,11,7.4%,0%,63.4,95,83,108.5,-9.2
453,SF,"Jake Moody",K,17,101.01,14,7.2%,0%,118.3,147,139,171.2,-9.2
454,MIN,"Dallas Turner",DL,17,,6,-3.3%,0%,35.8,58,51,102.3,-9.3
455,MIN,"Byron Murphy",DB,17,,6,-3.3%,0%,86.3,93,86,86.3,-9.3
456,NYG,"Kayvon Thibodeaux",DL,16,,14,-8.3%,16%,52.4,79,62,83.2,-9.4
457,DET,"D.J. Reed",DB,17,,8,-5.4%,0%,63.1,89,84,105.2,-9.4
458,BAL,"Mike Green",DL,17,,7,4.4%,17%,34.2,,51,102,-9.4
459,NYJ,"Quinnen Williams",DL,17,,9,6.5%,18%,40.3,82,50,100.7,-9.5
460,HOU,"Derek Stingley",DB,17,,6,-3.4%,30%,55.8,82,74,130.3,-9.5
461,CIN,"Tahj Brooks",RB,17,21.10,10,-0.7%,0%,47.2,68,63,179.5,-9.5
462,WAS,"Noah Brown",WR,17,30.06,12,-0.2%,0%,70,95,87,187.2,-9.6
463,TB,"Haason Reddick",DL,17,,9,-2.2%,7%,43.1,49,54,88.8,-9.6
464,ATL,"Atlanta Falcons",DEF,17,47.01,5,-2.4%,0%,83,82,91,110.4,-9.6
465,CIN,"Joseph Ossai",DL,17,,10,-11.8%,7%,45.8,,52,91.2,-9.7
466,GB,"Evan Williams",DB,17,,5,-4.4%,0%,58.7,,84,105.6,-9.8
467,DAL,"Osa Odighizuwa",DL,17,,10,-11%,0%,50.4,46,57,77.3,-9.8
468,CIN,"Samaje Perine",RB,17,28.05,10,-0.7%,35%,60.2,61,86,124.6,-9.8
469,CHI,"Cairo Santos",K,17,120.04,5,-7.4%,0%,132,129,142,167.4,-9.9
470,MIA,"Ifeatu Melifonwu",DB,17,,12,-7.1%,0%,84.8,,85,84.8,-10
471,PIT,"Calvin Austin III",WR,17,22.03,5,1.9%,29%,75.3,112,94,148.7,-10.1
472,PIT,"Roman Wilson",WR,17,22.09,5,1.9%,13%,71.3,77,95,172.9,-10.1
473,MIA,"Nick Westbrook-Ikhine",WR,17,26.12,12,2.9%,0%,72.2,94,90,171.5,-10.1
474,BAL,"Justin Madubuike",DL,17,,7,4.4%,0%,46.4,69,54,83.5,-10.1
475,NE,"Christian Gonzalez",DB,17,,14,6.7%,29%,56.5,89,75,124.3,-10.1
476,IND,"DJ Giddens",RB,17,20.01,11,0.8%,20%,54.4,44,65,174.8,-10.2
477,CHI,"Tyrique Stevenson",DB,17,,5,-1.5%,0%,51.2,101,79,118.1,-10.2
478,CHI,"Tremaine Edmunds",LB,17,,5,-1.5%,27%,86.1,108,101,131.7,-10.2
479,NYJ,"Brandon Stephens",DB,17,,9,6.5%,0%,65.6,86,82,102.4,-10.3
480,LVR,"Las Vegas Raiders",DEF,17,33.09,8,10.4%,0%,78.9,85,87,107.5,-10.3
481,MIN,"Will Reichard",K,17,101.09,6,-4.9%,0%,127.4,144,134,169,-10.3
482,LVR,"Jack Bech",WR,17,15.10,8,-0.8%,43%,72.4,45,103,173.8,-10.4
483,KC,"Chamarri Conner",DB,17,,10,-9.1%,0%,42.7,,85,111.1,-10.5
484,KC,"Michael Danna",DL,17,,10,-9.1%,0%,44.9,62,56,78.6,-10.5
485,NYJ,"Isaiah Davis",RB,17,27.12,9,5%,0%,54.5,24,59,195.6,-10.6
486,NYJ,"Tony Adams",DB,17,,9,6.5%,0%,57.8,91,83,103.3,-10.6
487,BAL,"Keaton Mitchell",RB,17,20.09,7,-4.3%,19%,51.7,57,57,178.2,-10.7
488,PIT,"Joey Porter Jr.",DB,17,,5,3.5%,0%,60.6,65,81,105,-10.7
489,SEA,"Boye Mafe",DL,17,,8,-0.5%,0%,45.3,77,58,73.2,-10.7
490,BUF,"Christian Benford",DB,17,,7,9%,0%,58,64,77,116,-10.7
491,IND,"Charvarius Ward",DB,17,,11,9.6%,36%,58,86,77,116,-10.7
492,CLE,"Mason Graham",DL,17,,9,-7.3%,9%,50.3,,56,72.6,-10.8
493,SF,"Renardo Green",DB,17,,14,15.5%,0%,63,38,79,106.3,-10.9
494,TB,"Sean Tucker",RB,17,22.01,9,2.1%,23%,50.2,45,67,160.7,-11
495,IND,"JT Tuimoloau",DL,17,,11,9.6%,0%,40.4,,50,90.8,-11.1
496,JAC,"Parker Washington",WR,17,33.06,8,-1.2%,0%,77.4,54,86,184.9,-11.2
497,NE,"Antonio Gibson",RB,17,31.08,14,3.7%,19%,61.6,60,68,139,-11.2
498,LAC,"Tarheeb Still",DB,17,,12,11.4%,0%,56.4,,81,104.8,-11.2
499,TEN,"Jarvis Brownlee Jr.",DB,17,,10,10%,0%,57.5,,82,102.6,-11.2
500,BAL,"Odafe Oweh",DL,17,,7,4.4%,0%,46.9,56,55,74.5,-11.3
501,NE,"Craig Woodson",DB,17,,14,6.7%,0%,82.6,,83,82.6,-11.3
502,CHI,"Cole Kmet",TE,17,21.02,5,-1%,38%,104.8,99,126,202,-11.4
503,MIN,"Jalen Nailor",WR,17,25.07,6,-0.6%,0%,77.4,73,97,147.1,-11.4
504,KC,"Jalen Royals",WR,15,21.05,10,0.6%,37%,54.8,62,71,222.1,-11.5
505,SEA,"Uchenna Nwosu",DL,17,,8,-0.5%,11%,43.9,78,56,73.1,-11.6
506,TEN,"Arden Key",DL,17,,10,10%,0%,45,43,55,73.6,-11.6
507,CIN,"Cincinnati Bengals",DEF,17,47.02,10,-11.8%,0%,77.8,94,86,105.2,-11.6
508,NO,"Devaughn Vele",WR,17,26.08,11,-1%,0%,73.1,65,91,164.4,-11.7
509,CAR,"Carolina Panthers",DEF,17,47.03,14,0.7%,0%,80.6,79,89,107.2,-11.7
510,CAR,"Trevin Wallace",LB,17,,14,0.7%,0%,74.8,53,98,137.8,-11.8
511,KC,"Kristian Fulton",DB,17,,10,-9.1%,0%,55.1,65,79,106.4,-11.8
512,BUF,"Ed Oliver",DL,17,,7,9%,0%,37,60,48,91.2,-11.9
513,PIT,"Derrick Harmon",DL,16,,5,3.5%,0%,42.6,,53,90.5,-11.9
514,WAS,"Will Harris",DB,17,,12,5.7%,0%,56,61,80,104,-11.9
515,JAC,"Devin Lloyd",LB,17,,8,4.6%,0%,76.9,119,99,132.2,-12
516,BUF,"Ty Johnson",RB,17,26.09,7,-1.9%,21%,57.3,68,64,128.8,-12.1
517,CAR,"Trevor Etienne",RB,17,24.02,14,3.4%,19%,44.9,43,62,157.7,-12.1
518,NO,"Demario Davis",LB,17,,11,7.4%,10%,77.7,107,97,136,-12.1
519,CIN,"Myles Murphy",DL,17,,10,-11.8%,0%,30.2,27,38,113.1,-12.2
520,BUF,"Cole Bishop",DB,17,,7,9%,0%,38.9,50,78,116.8,-12.3
521,TEN,"Van Jefferson",WR,17,65.07,10,1.2%,13%,73.9,60,88,163.5,-12.3
522,TB,"Vita Vea",DL,17,,9,-2.2%,24%,45.1,3,56,67.7,-12.4
523,BUF,"Curtis Samuel",WR,17,32.05,7,1.1%,45%,61.4,69,85,168.9,-12.5
524,ARI,"Walter Nolen",DL,17,,8,8.2%,0%,37,,49,86.4,-12.5
525,LVR,"Isaiah Pola-Mao",DB,17,,8,10.4%,0%,81.3,,81,81.3,-12.6
526,LAR,"Jarquez Hunter",RB,17,21.07,8,2.6%,0%,45.5,41,54,160.7,-12.8
527,GB,"Lukas Van Ness",DL,17,,5,-4.4%,6%,40.4,52,50,80.8,-12.8
528,DAL,"Kenneth Murray",LB,17,,10,-11%,26%,79.4,85,97,130.6,-12.8
529,IND,"Spencer Shrader",K,17,83.04,11,2.8%,0%,121.8,5,130,160.7,-12.9
530,DAL,"Phil Mafah",RB,13,29.01,10,-3.2%,0%,30.2,40,58,162.4,-13
531,NE,"Mack Hollins",WR,17,122.03,14,1.1%,6%,79.8,31,91,158.7,-13.2
532,CLE,"Harold Fannin Jr.",TE,17,22.04,9,2.3%,19%,85.5,97,107,237.3,-13.2
533,KC,"Bryan Cook",DB,17,,10,-9.1%,0%,54.6,67,78,101.4,-13.2
534,JAC,"Eric Murray",DB,17,,8,4.6%,0%,54.8,,78,101.8,-13.2
535,CHI,"Gervon Dexter",DL,17,,5,-1.5%,0%,45.6,,54,66.3,-13.2
536,BUF,"Damar Hamlin",DB,17,,7,9%,0%,19.9,57,80,119.3,-13.3
537,CLE,"Ronnie Hickman",DB,17,,9,-7.3%,0%,80.4,,80,80.4,-13.3
538,LAC,"Cam Hart",DB,17,,12,11.4%,0%,79.7,,80,79.7,-13.3
539,DAL,"KaVontae Turpin",WR,17,25.09,10,-3.2%,0%,66.9,65,89,147.2,-13.4
540,SF,"Demarcus Robinson",WR,14,29.02,14,1.1%,0%,56.4,74,66,192.3,-13.5
541,CHI,"Olamide Zaccheaus",WR,17,78.06,5,0.5%,5%,56.1,45,72,197.8,-13.6
542,CLE,"Jamari Thrash",WR,17,118.10,9,-2.2%,0%,56.9,73,76,166.8,-13.8
543,NYG,"Devin Singletary",RB,17,28.10,14,-4.6%,36%,54.1,52,60,120.2,-13.8
544,NO,"Brandin Cooks",WR,17,27.07,11,-1%,36%,62.2,67,80,155.5,-14
545,UNS,"Mecole Hardman",WR,17,103.05,18,-,7%,47.6,,60,187.4,-14
546,GB,"Christopher Brooks",RB,17,145.06,5,-0.4%,0%,37.5,24,52,161.6,-14.1
547,LAR,"Jordan Whittington",WR,17,24.08,8,0.4%,0%,60.2,76,77,155,-14.2
548,UNS,"Gabriel Davis",WR,17,35.01,18,-,31%,64.3,53,80,160.8,-14.3
549,DET,"Alex Anzalone",LB,17,,8,-5.4%,0%,81.4,117,96,124.4,-14.3
550,KC,"Drue Tranquill",LB,17,,10,-9.1%,0%,77.5,108,95,127.6,-14.5
551,SEA,"DeMarcus Lawrence",DL,17,,8,-0.5%,0%,35.4,65,54,65.3,-14.5
552,TB,"Jamel Dean",DB,17,,9,-2.2%,31%,53,67,76,98.3,-14.6
553,NE,"Marcus Jones",DB,17,,14,6.7%,0%,53.2,,76,98.8,-14.6
554,WAS,"Jonathan Jones",DB,17,,12,5.7%,0%,53,,76,98.4,-14.6
555,DAL,"Jalen Tolbert",WR,17,28.04,10,-3.2%,0%,49.3,95,76,144.2,-14.7
556,CLE,"Alex Wright",DL,17,,9,-7.3%,0%,53.4,,53,53.4,-14.8
